gene,n_mut,n_wt,p_value,cox_hr_mut_vs_wt,median_OS_mut_days,median_OS_wt_days
ARID1A,29,347,0.01250775364296975,1.9657720686979177,693.0,2116.0
TP53,108,268,0.013926884952396607,1.5913662652038727,1397.0,1852.0
ALB,47,329,0.3418494699024255,0.757786299447734,1694.0,1685.0
MUC16,76,300,0.4041867452330181,1.1895028189014678,1622.0,1791.0
CTNNB1,94,282,0.7414884808701554,1.071253767064386,1560.0,1852.0
AXIN1,27,349,0.9297602773121908,0.9681388474863682,inf,1694.0
TTN,120,256,0.9449289895287173,1.0130950361029338,1791.0,1694.0
