gene,n_mut,n_wt,p_value,cox_hr_mut_vs_wt,median_DFS_mut_days,median_DFS_wt_days
TP53,108,268,0.01578177809447298,1.4807578778412076,384.0,903.0
AXIN1,27,349,0.07521285920028667,0.5094480262570136,1630.0,719.0
ALB,47,329,0.0793651049481839,1.4523908297517236,483.0,875.0
MUC16,76,300,0.20066534478134307,0.7707666177682575,875.0,720.0
ARID1A,29,347,0.4850012379322257,1.2325942236575493,455.0,776.0
CTNNB1,94,282,0.551479357460676,1.113244794675282,656.0,879.0
TTN,120,256,0.7364604616631614,1.0575497110448575,719.0,776.0
