Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations
CBR4,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
NRIP1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
MTMR14,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
USP37,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
GRINA,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.3862943611198906
PAFAH1B1,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.3862943611198906
MLF2,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.3862943611198906
LTBR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
KRT36,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
MARK2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
KLF6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
KIAA0513,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
MEPE,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
MED29,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
MEIOC,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
IQCB1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SLC17A7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SRPX,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
IRAK1BP1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
STAT5B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SHOC2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SHBG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
MTF2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
STX8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
STXBP2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
IFITM3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SULT1C4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
HSD3B7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
HSD11B1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
MYOG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
HOXB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ZFYVE21,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
HMBS,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SYT12,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
LRFN4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ARSD,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
LLGL1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
LMBRD1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
LRRN3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SERPINB5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
NDRG4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
BRD2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
BRCC3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
BRD3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
SERPINA7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
NFIA,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
BZW2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
GLB1L,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
GIPR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
C1orf131,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
BTBD8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ZDHHC8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
NIPA2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
NME6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
GPR143,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
OR4X2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
TMEM209,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
FAM214A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
C9orf135,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
TNFAIP6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
TNFRSF10B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ZNF639,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
EXD3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ETV6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
TPH1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
EIF3J,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
FRA10AC1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
