Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,cluster
MAK,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
WDR38,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
IRF7,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
TOB1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
CCDC138,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
CBR4,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
NRIP1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
MTMR14,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
USP37,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
GRINA,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,7
PAFAH1B1,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,7
MLF2,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,7
LTBR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
KRT36,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
MARK2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
KLF6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
KIAA0513,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
MEPE,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
MED29,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
MEIOC,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
IQCB1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SLC17A7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SRPX,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
IRAK1BP1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
STAT5B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SHOC2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SHBG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
MTF2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
STX8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
STXBP2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
IFITM3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SULT1C4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
HSD3B7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
HSD11B1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
MYOG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
HOXB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ZFYVE21,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
HMBS,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SYT12,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
LRFN4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ARSD,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
LLGL1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
LMBRD1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
LRRN3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SERPINB5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
NDRG4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
BRD2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
BRCC3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
BRD3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
SERPINA7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
NFIA,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
BZW2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
GLB1L,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
GIPR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
C1orf131,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
BTBD8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ZDHHC8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
NIPA2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
NME6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
GPR143,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
OR4X2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
TMEM209,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
FAM214A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
C9orf135,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
TNFAIP6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
TNFRSF10B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ZNF639,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
EXD3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ETV6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
TPH1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
EIF3J,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
FRA10AC1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
FIGNL2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
RWDD2A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
OR2F2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
TMEM176A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ADCY7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ADH5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
PCED1B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
ADRB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
EIF3M,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
TRIT1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
RHCG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
DNAJB14,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
CCDC73,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
WDR74,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
RC3H2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
DGCR8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
PIGV,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,7
