Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,weak_label_driver,ml_driver_probability,hybrid_score
ARID1A,40,38,28.0,0.0,0.7,0.0917874396135265,0.0,0.2983870967741935,0.7,0.0,0.3591935483870968,3.713572066704308,1,0.9992846200129942,0.7432481913626352
MUC5B,37,35,3.0,0.0,0.081081081081081,0.0845410628019323,0.0,0.2741935483870968,0.081081081081081,0.0,0.1614210985178727,3.6375861597263857,0,0.9992102989439552,0.6640946187735222
USH2A,38,34,2.0,0.0,0.0526315789473684,0.0821256038647343,0.0,0.2661290322580648,0.0526315789473684,0.0,0.1488539898132429,3.6635616461296463,0,0.9991499196887585,0.6590315477385523
CSMD1,38,33,5.0,0.0,0.131578947368421,0.0797101449275362,0.0,0.2580645161290323,0.131578947368421,0.0,0.1685059422750424,3.6635616461296463,0,0.9989423383485703,0.666767779919159
CACNA1E,35,33,1.0,0.0,0.0285714285714285,0.0797101449275362,0.0,0.2580645161290323,0.0285714285714285,0.0,0.1376036866359447,3.58351893845611,0,0.9988512193953156,0.6543522062915673
DNAH7,34,31,4.0,0.0,0.1176470588235294,0.0748792270531401,0.0,0.2419354838709679,0.1176470588235294,0.0,0.1562618595825428,3.5553480614894135,0,0.998218852198146,0.6614360551519046
ADGRV1,33,31,2.0,0.0,0.0606060606060606,0.0748792270531401,0.0,0.2419354838709679,0.0606060606060606,0.0,0.1391495601173021,3.5263605246161616,0,0.998194852291444,0.6545767354217872
RYR1,34,29,2.0,0.0,0.0588235294117647,0.0700483091787439,0.0,0.2258064516129032,0.0588235294117647,0.0,0.130550284629981,3.5553480614894135,0,0.9977012480834127,0.65084086270204
RYR3,31,29,4.0,0.0,0.1290322580645161,0.0700483091787439,0.0,0.2258064516129032,0.1290322580645161,0.0,0.1516129032258064,3.4657359027997265,0,0.9970554856252847,0.6588784526654934
DMD,30,30,7.0,0.0,0.2333333333333333,0.072463768115942,0.0,0.2338709677419356,0.2333333333333333,0.0,0.1869354838709678,3.4339872044851463,0,0.9970493814179942,0.6730038223991835
FAT3,30,28,1.0,0.0,0.0333333333333333,0.0676328502415458,0.0,0.2177419354838709,0.0333333333333333,0.0,0.1188709677419354,3.4339872044851463,0,0.9966168564749658,0.6455185009817536
CUBN,30,28,3.0,0.0,0.1,0.0676328502415458,0.0,0.2177419354838709,0.1,0.0,0.1388709677419354,3.4339872044851463,0,0.9964230047314437,0.6534021899356404
DNAH5,30,28,4.0,0.0,0.1333333333333333,0.0676328502415458,0.0,0.2177419354838709,0.1333333333333333,0.0,0.1488709677419354,3.4339872044851463,0,0.9963219676979597,0.6573415677155499
FASN,30,28,5.0,0.0,0.1666666666666666,0.0676328502415458,0.0,0.2177419354838709,0.1666666666666666,0.0,0.1588709677419354,3.4339872044851463,0,0.9962180875698692,0.6612792396386956
FAT2,30,28,5.0,0.0,0.1666666666666666,0.0676328502415458,0.0,0.2177419354838709,0.1666666666666666,0.0,0.1588709677419354,3.4339872044851463,0,0.9962180875698692,0.6612792396386956
SPTA1,31,27,4.0,0.0,0.1290322580645161,0.0652173913043478,0.0,0.2096774193548388,0.1290322580645161,0.0,0.1435483870967742,3.4657359027997265,0,0.9960097417434002,0.6550251998847497
DOCK2,31,27,5.0,0.0,0.1612903225806451,0.0652173913043478,0.0,0.2096774193548388,0.1612903225806451,0.0,0.1532258064516129,3.4657359027997265,0,0.9959007628429158,0.6588307802863946
FBN2,30,26,1.0,0.0,0.0333333333333333,0.0628019323671497,0.0,0.2016129032258065,0.0333333333333333,0.0,0.1108064516129032,3.4339872044851463,0,0.9954160497020921,0.6415722104664164
BAP1,31,28,17.0,0.0,0.5483870967741935,0.0676328502415458,0.0,0.2177419354838709,0.5483870967741935,0.0,0.2733870967741935,3.4657359027997265,1,0.9951343385264924,0.7064354418255728
COL11A1,29,26,1.0,0.0,0.0344827586206896,0.0628019323671497,0.0,0.2016129032258065,0.0344827586206896,0.0,0.1111512791991101,3.4011973816621555,0,0.9950841070909587,0.6415109759342192
LAMA1,27,27,2.0,0.0,0.074074074074074,0.0652173913043478,0.0,0.2096774193548388,0.074074074074074,0.0,0.1270609318996416,3.332204510175204,0,0.9949527640859817,0.6477960312114456
PCDH15,27,27,3.0,0.0,0.1111111111111111,0.0652173913043478,0.0,0.2096774193548388,0.1111111111111111,0.0,0.1381720430107527,3.332204510175204,0,0.9947943532993367,0.6521454291839032
DNAH8,27,27,5.0,0.0,0.1851851851851851,0.0652173913043478,0.0,0.2096774193548388,0.1851851851851851,0.0,0.1603942652329749,3.332204510175204,0,0.9944625440817492,0.6608352325422394
PKHD1L1,28,25,2.0,0.0,0.0714285714285714,0.0603864734299516,0.0,0.1935483870967741,0.0714285714285714,0.0,0.1182027649769584,3.367295829986474,0,0.9936646609974936,0.6434799025892796
AXIN1,30,28,25.0,0.0,0.8333333333333334,0.0676328502415458,0.0,0.2177419354838709,0.8333333333333334,0.0,0.3588709677419354,3.4339872044851463,1,0.9934035992183772,0.7395905466278004
PLXNA4,26,25,4.0,0.0,0.1538461538461538,0.0603864734299516,0.0,0.1935483870967741,0.1538461538461538,0.0,0.1429280397022332,3.295836866004329,0,0.9921171213876515,0.6524414887134842
DST,26,25,5.0,0.0,0.1923076923076923,0.0603864734299516,0.0,0.1935483870967741,0.1923076923076923,0.0,0.1544665012406947,3.295836866004329,0,0.9918608001373868,0.6569030805787099
AHNAK2,27,24,3.0,0.0,0.1111111111111111,0.0579710144927536,0.0,0.185483870967742,0.1111111111111111,0.0,0.1260752688172043,3.332204510175204,0,0.9917996960519154,0.645509925158031
LRP1,25,25,3.0,0.0,0.12,0.0603864734299516,0.0,0.1935483870967741,0.12,0.0,0.132774193548387,3.258096538021482,0,0.991705162824461,0.6481327751140313
DNAH9,26,24,1.0,0.0,0.0384615384615384,0.0579710144927536,0.0,0.185483870967742,0.0384615384615384,0.0,0.1042803970223325,3.295836866004329,0,0.9916692709764441,0.6367137213947994
FREM2,26,25,7.0,0.0,0.2692307692307692,0.0603864734299516,0.0,0.1935483870967741,0.2692307692307692,0.0,0.1775434243176178,3.295836866004329,0,0.9913231038795522,0.6658112320547784
KIF26B,25,24,0.0,0.0,0.0,0.0579710144927536,0.0,0.185483870967742,0.0,0.0,0.092741935483871,3.258096538021482,0,0.9912676847391413,0.6318573850370331
NEB,25,24,2.0,0.0,0.08,0.0579710144927536,0.0,0.185483870967742,0.08,0.0,0.116741935483871,3.258096538021482,0,0.9906673448847965,0.6410971811244263
KMT2D,27,24,8.0,0.0,0.2962962962962963,0.0579710144927536,0.0,0.185483870967742,0.2962962962962963,0.0,0.1816308243727599,3.332204510175204,0,0.9904350399844029,0.6669133537397457
HERC2,25,23,2.0,0.0,0.08,0.0555555555555555,0.0,0.1774193548387097,0.08,0.0,0.1127096774193548,3.258096538021482,0,0.9891467543433445,0.6385719235737486
